Descripcion,cateogira,precio final,,,,569,electro
MINIPIMER SMARTLIFE SL-SM5010FPN,electro,88.17875,,,,,
MINIPIMER SMARTLIFE SL-SM5010FPN + VASO PICADOR,electro,79.36753,,,,,
MINIPIMER SMARTLIFE SL-SM6038W,electro,61.67854,,,,,
MOCHILA P/ NB 15.6 TRIPLE KIT MNB (NEGRA),accesorios,56.46102,,,,,
MOD FIBRA 3COM 3C16970,accesorios,298.84283,,,,,
MODEM 56K MR / MRG  + PARALELO OEM,redes,6.90404,,,,,
MODEM ADSL ALCATEL INT.,accesorios,19.27783,,,,,
MODEM AMR 56K V90,accesorios,7.34162,,,,,
MODEM CONEXANT 56K INT PCI,redes,2.589015,,,,,
MODEM ISA 56K INT,accesorios,30.448275,,,,,
MODEM P/MB INTEGRADO TIPO 598,accesorios,3.67356,,,,,
MODEM PCMCIA ENCORE (CONEXANT) 56K,accesorios,2.248675,,,,,
MODEM US ROBOTIC 56K INT WIN PCI 2974/29,redes,56.241185,,,,,
MODULO GABITEL 3M POUYET ONE CLIC X2 (B) X UNI,electro,4.15272,,,,,
MODULO INALAMBRICO P/PROYECT POWERLITE/BRIGHTLINK,proyector,190.333,,,,,
MODULO TRANCEPTOR LENOVO SFP+,accesorios,66.65802,,,,,
MONITOR 19 CX 185F  VGA/HDMI,monitores,222.4101,,,,,
MONITOR 19 CX 185U VGA/HDMI,monitores,222.46334,,,,,
MONITOR 19 HIKVISION DS-D5019QE-B VGA/HDMI,monitores,223.68786,,,,,
MONITOR 19 LENOVO D19-10 VGA/HDMI GTIA 3 CI,monitores,316.79131,,,,,
MONITOR 19 PHILIPS VGA HDMI VESA,monitores,216.48715,,,,,
MONITOR 19 PHILIPS VGA HDMI VESA,monitores,216.48715,,,,,
MONITOR 19 PHILIPS VGA HDMI VESA CAJA DA�ADA,monitores,210.60413,,,,,
MONITOR 20 HP P204 HDMI (I),monitores,287.37621,,,,,
MONITOR 22 ASUS VP228HE BLACK AUDIO VGA/HDMI,monitores,387.65375,,,,,
MONITOR 22 CX 215 HDMI / VGA VESA,monitores,268.87531,,,,,
MONITOR 22 CX 215M HDMI / VGA FRAMELESS,monitores,272.01647,,,,,
MONITOR 22 DELL E2222H VGA+DPORT FHD,monitores,367.12973,,,,,
MONITOR 22 HIKVISION DS-D5022FN-C VGA/HDMI,monitores,286.75064,,,,,
MONITOR 22 HP P22VA HDMI FHD,monitores,371.53534,,,,,
MONITOR 22 HP P22VA HDMI FHD (CAJA DA�ADA),monitores,352.96789,,,,,
MONITOR 22 LENOVO D22E-20 VGA/HDMI GTIA 3 CI,monitores,377.23202,,,,,
MONITOR 22 LENOVO S22E-19 VGA/HDMI,monitores,357.36019,,,,,
MONITOR 22 PHILIPS HDMI /VGA 221V8/77,monitores,263.28511,,,,,
MONITOR 22 SAMSUNG T350 FLAT IPS,monitores,218.65668,,,,,
MONITOR 24 AOC G2490VX GAMER FHD,monitores,422.79215,,,,,
MONITOR 24 ASUS VA24EHE BLACK IPS 75HZ VGA/HDMI/DV,monitores,459.92705,,,,,
MONITOR 24 ASUS VG248QG GAMER BLACK TN 165HZ AUDIO,monitores,663.47688,,,,,
MONITOR 24 ASUS VG24VQ CURVO GAMING 144HZ  AUDIO,monitores,640.6103,,,,,
MONITOR 24 ASUS VP249QGR IPS 144HZ AUDIO HDMI/DP/V,monitores,586.18571,,,,,
MONITOR 24 CX 236M HDMI / VGA FRAMELESS,monitores,290.79688,,,,,
MONITOR 24 CX GAMER HDMI 144 /165HZ,monitores,450.09096,,,,,
MONITOR 24 DELL P2422H VGA + HDMI + DPORT,monitores,689.25835,,,,,
MONITOR 24 GIGABYTE G24F 2 GAMING IPS 165HZ HDMI/D,monitores,653.17494,,,,,
MONITOR 24 GIGABYTE G24F GAMING IPS 165HZ HDMI/DP,monitores,594.1584,,,,,
MONITOR 24 HIKVISION DS-D5024FN VGA/HDMI,monitores,290.13138,,,,,
MONITOR 24 NOBLEX HDMI/VGA MK24X7100,monitores,209.28644,,,,,
MONITOR 24 PHILIPS HDMI /VGA 241V8L/77,monitores,281.67953,,,,,
MONITOR 24 SAMSUNG T350 FLAT IPS,monitores,238.63499,,,,,
MONITOR 25 GIGABYTE AORUS FI25F GAMING IPS 240HZ,monitores,1468.01314,,,,,
MONITOR 27 AOC G2790VX GAMER FHD,monitores,517.2266,,,,,
MONITOR 27 ASUS VA27EHE BLACK IPS 75HZ VGA/HDMI,monitores,547.85291,,,,,
MONITOR 27 ASUS VG278Q GAMING 144HZ AUDIO,monitores,762.99575,,,,,
MONITOR 27 ASUS VG278QR GAMING 165HZ AUDIO,monitores,760.90608,,,,,
MONITOR 27 ASUS VG27VQ CURVO GAMING 165HZ  AUDIO,monitores,801.48827,,,,,
MONITOR 27 CX GAMER HDMI 144HZ/165HZ,monitores,542.39581,,,,,
MONITOR 27 GIGABYTE G27F 2 GAMING IPS 144HZ HDMI/D,monitores,787.1534,,,,,
MONITOR 27 GIGABYTE G27F GAMING IPS 144HZ HDMI/DP,monitores,674.39108,,,,,
MONITOR 27 GIGABYTE G27FC A CURVO GAMING IPS 165HZ,monitores,787.1534,,,,,
MONITOR 27 GIGABYTE G27Q GAMING IPS 144HZ HDMI/DP,monitores,996.97224,,,,,
MONITOR 27 HIKVISION DS-D5027FN VGA/HDMI,monitores,368.30101,,,,,
MONITOR 27 NOBLEX HDMI/VGA MK27X7100,monitores,274.82488,,,,,
MONITOR 27 PERFORMANCE V270 VGA HDMI,monitores,320.34508,,,,,
MONITOR 27 PHILIPS 271E1SCA CURVO LCD FULL HD,monitores,373.62501,,,,,
MONITOR 27 PHILIPS HDMI /VGA 272V8LA/55,monitores,336.01095,,,,,
MONITOR 32 ASUS VA32UQ 4K UHD BLACK HDMI/DPORT,monitores,1234.35609,,,,,
MONITOR 32 CX PF236K HDMI FRAMELESS,monitores,567.16572,,,,,
MOTOR DE CARRO DE FX880,accesorios,4.85815,,,,,
Motosierra Explosi�n Einhell 40cc Bg-pc 4040,electro,115.97003,,,,,
MOUSE + GAMEPAD GAMEMAX MG7 RGB,mouse,28.90459,,,,,
MOUSE ADATA XPG INFAREX M20 RGB,mouse,31.55438,,,,,
MOUSE ADATA XPG PRIMER RGB,mouse,45.97021,,,,,
MOUSE ASUS USB BLACK BLUE LIGHT,mouse,25.2824,,,,,
MOUSE CX MEQ-037 RUBBER BLACK COLOR FINISH  USB,mouse,4.217785,,,,,
"MOUSE CX MEQ-037 VERSION 2 ""SIN CAJA O DA�ADA"",""5.53",mouse,#VALUE!,,,,,
MOUSE CX OPTICO LM8635 BLACK PS/2,mouse,5.68854,,,,,
MOUSE CX OPTICO M-512 USB BLACK,mouse,5.554835,,,,,
MOUSE DELL MS116 USB BLACK WIRED,mouse,13.39481,,,,,
MOUSE DELL WM126-BK WIRELESS BLACK,mouse,31.23835,,,,,
MOUSE EVGA GAMER TORQ X10 CARBON GAMING,mouse,50.46756,,,,,
MOUSE EVGA GAMER X15 GAMING 8K MOUSE BLACK,mouse,59.182695,,,,,
MOUSE EVGA GAMER X17 GAMING MOUSE BLACK,mouse,59.182695,,,,,
MOUSE GENIUS DX-110 USB BLACK 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-110 USB BLUE 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-110 USB RED 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-110 USB WHITE 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-120 USB BLACK 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-120 USB BLUE 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-120 USB GREEN 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-120 USB RED 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS DX-120 USB WHITE 1200 DPI,mouse,5.29958,,,,,
MOUSE GENIUS ECO-8015 WIRELESS SILVER RECARGABLE,mouse,19.144125,,,,,
MOUSE GENIUS ECO-8100 WIRELESS BLACK RECARGABLE,mouse,17.466735,,,,,
MOUSE GENIUS NX-7000 BLACK WIRELESS,mouse,9.99141,,,,,
MOUSE GENIUS NX-7007 WIRELESS BLACK,mouse,10.23451,,,,,
MOUSE GENIUS NX-7007 WIRELESS BLUE,mouse,10.23451,,,,,
MOUSE GENIUS NX-7007 WIRELESS RED,mouse,10.23451,,,,,
MOUSE GENIUS NX-8000S RED/BLK WIRELESS SILENCIOSO,mouse,10.830105,,,,,
MOUSE GIGABYTE AORUS M2 RGB 2.0,mouse,46.86968,,,,,
MOUSE GIGABYTE AORUS M4 RGB 2.0,mouse,71.54433,,,,,
MOUSE HP BLUETOOTH TRAVEL WIRELESS,mouse,69.7697,,,,,
MOUSE HP COMFORT GRIP WIRELESS,mouse,35.88156,,,,,
MOUSE HP QY777AA OPTICO NEGRO,mouse,14.87772,,,,,
MOUSE LOGITECH G203 LIGHTSYNC GAMING BLUE ( I ),mouse,37.498175,,,,,
MOUSE LOGITECH G203 LIGHTSYNC GAMING LILAC ( I ),mouse,37.498175,,,,,
MOUSE LOGITECH G203 LIGHTSYNC GAMING WHITE,mouse,36.27052,,,,,
MOUSE LOGITECH G305 GAMING WIRELESS BLUE,mouse,51.354875,,,,,
MOUSE LOGITECH G305 GAMING WIRELESS BLUE ( I ),mouse,58.07659,,,,,
MOUSE LOGITECH G305 GAMING WIRELESS LILAC ( I ),mouse,58.07659,,,,,
MOUSE LOGITECH M100 GREY (I),mouse,12.945075,,,,,
MOUSE LOGITECH M110 SILENT BLUE (I),mouse,10.84226,,,,,
MOUSE LOGITECH M110 SILENT RED (I),mouse,10.84226,,,,,
MOUSE LOGITECH M170 WIRELESS BLACK,mouse,11.486475,,,,,
MOUSE LOGITECH M90 BLACK  (I),mouse,5.895175,,,,,
MOUSE LOGITECH M90 GREY ( I ),mouse,11.462165,,,,,
MOUSE LOGITECH M90 USB BLACK/GREY,mouse,5.554835,,,,,
MOUSE LOGITECH MX ANYWHERE E ROSE BLUETOOTH,mouse,102.138465,,,,,
MOUSE MSI CLUTCH GM20 ELITE RGB,mouse,37.376625,,,,,
MOUSE MSI CLUTCH GM41 LIGHTWEIGHT,mouse,60.72638,,,,,
MOUSE MSI CLUTCH GM41 LIGHTWEIGHT V2,mouse,60.72638,,,,,
MOUSE MSI CLUTCH GM41 LIGHTWEIGHT WIRELESS,mouse,84.100445,,,,,
MOUSE OPTICAL 3D HIGH QUALITY USB BLACK,mouse,7.14714,,,,,
MOUSE PAD GAMING GREENFOX GFP3100 RGB,accesorios,18.75379,,,,,
MOUSE PAD PRIMUS ARENA L BLACK 400X3200X3 MM,accesorios,15.3065,,,,,
MOUSE PAD PRIMUS ARENA M BLACK 320X270X3 MM,accesorios,10.59476,,,,,
MOUSE PAD TRIPLE KIT C/ GEL CRISTAL,accesorios,6.42873,,,,,
MOUSE PAD TRUST GXT765 GLIDE-FLEX RGB USBX4,mouse,32.39654,,,,,
MOUSE PERFORMANCE USB,mouse,2.60117,,,,,
MOUSE PRIMUS MSE GLADIUS 32000P USB RGB,mouse,58.5871,,,,,
MOUSE PRIMUS MSE GLADIUS 8200T USB RGB,mouse,34.17986,,,,,
MOUSE TRUST GAMING GXT960 GRAPHIN,mouse,32.40523,,,,,
MOUSE TRUST GAMING GXT970 MORFIX,mouse,41.120365,,,,,
MOUSE TRUST IVERO USB BLACK,teclados,5.676385,,,,,
MOUSE XTECH XTM-165 USB BLACK 1000 DPI,mouse,5.39682,,,,,
MULTIPROCESADORA SMARTLIFE SL-FP0509,electro,175.09305,,,,,
MURAL APC NETSHELTER WX 6U - LOW PROFILE (DEMO),accesorios,1896.28901,,,,,
MURAL GLC CCTV 19`  3U-370MM Desarmado,cables,157.53716,,,,,
"MURAL GLC SOHO 19""    6U-500 Desarmado",cables,272.56218,,,,,
MURAL GLC SOHO 19`    9U-500 Desarmado,cables,333.17592,,,,,
MURAL GLC SOHO 19`  15U-500 Desarmado,cables,447.68185,,,,,
NB ASUS 14 I3-1005G1 8GB 128GB PCIE W11H,notebooks,891.64218,,,,,
NB ASUS 14 I5-1035G1 8GB 256GB PCIE W11H,notebooks,1034.742995,,,,,
NB ASUS 14 i5-1135G7 16G SSD512GB  W11H,notebooks,1861.19791,,,,,
NB ASUS 14 i5-1135G7 8G SSD512GB  W10H,notebooks,1629.76671,,,,,
NB ASUS 14 i5-1135G7 8G SSD512GB  W11H,notebooks,1650.55176,,,,,
NB ASUS 14 i5-1135G7 8G SSD512GB OLED W10H,notebooks,1951.97145,,,,,
NB ASUS 14 PENTIUM N6000 4GB 128GB W11H,notebooks,671.4422,,,,,
NB ASUS 14 R5-5600H 8GB 512GB W11H,notebooks,1617.29568,,,,,
NB ASUS 14 R7-5800HS 16GB 512GB RTX3050 W11H,notebooks,2949.21627,,,,,
NB ASUS 14 R9-6900HS 16G SSD 1TB RX6700S W11H,notebooks,3902.31413,,,,,
NB ASUS 14.5 i7-12700H 16G 1T TOUCH DUALSCREEN W11,notebooks,3760.95148,,,,,
NB ASUS 14.5 I7-12700H 32G 1T TOUCH DUALSCREEN W11,notebooks,3977.274015,,,,,
NB ASUS 15.6 CELERON N4000 4GB SSD240G,notebooks,609.40308,,,,,
NB ASUS 15.6 I3-1115G4 12GB 256GB PCIE W11 (L),notebooks,897.74399,,,,,
NB ASUS 15.6 I3-1115G4 4GB 256GB PCIE W11 (L),notebooks,827.34223,,,,,
NB ASUS 15.6 i5-10300H 16GB 512GB PCIE GTX1650 W11,notebooks,1852.628635,,,,,
NB ASUS 15.6 i5-11300H 16GB 512GB SSD PCIE RTX3050,notebooks,2123.18678,,,,,
NB ASUS 15.6 I5-1135G7 8GB 256GB PCIE W11 (L),notebooks,1080.275625,,,,,
NB ASUS 15.6 i5-12450H 16GB 512GB PCIE RTX3050 W11,notebooks,2340.95576,,,,,
NB ASUS 15.6 I7-1165G7 8GB 512GB PCIE W11 (L),notebooks,1409.98,,,,,
NB ASUS 15.6 i7-12650H 16GB 512GB PCIE RTX3050 W11,notebooks,2672.17951,,,,,
NB ASUS 15.6 i7-12650H 16GB 512GB PCIE RTX3060 W11,notebooks,3029.34203,,,,,
NB ASUS 15.6 I9-11900H 32G 1TB RTX3080 TOUCH W11H,notebooks,6510.983765,,,,,
NB ASUS 15.6 I9-12900H 32G 1T RTX3070TI TOUCH W11H,notebooks,6407.04636,,,,,
NB ASUS 15.6 R3-3250U 8GB 256GB,notebooks,859.96625,,,,,
NB ASUS 15.6 R3-3250U 8GB 256GB W11H,notebooks,945.063405,,,,,
NB ASUS 15.6 R5-4600H 16GB 512GB PCIE GTX1650,notebooks,1715.301445,,,,,
NB ASUS 15.6 R5-4600H 16GB 512GB PCIE GTX1650 W11H,notebooks,1874.045745,,,,,
NB ASUS 15.6 R5-4600H 16GB 512GB PCIE RTX3050 W11H,notebooks,2063.663745,,,,,
NB ASUS 15.6 R5-5600H 8GB 512GB PCIE W11H,notebooks,1517.50313,,,,,
NB ASUS 15.6 R7-4800H 16GB 512GB PCIE RTX3050,notebooks,1955.630105,,,,,
NB ASUS 15.6 R7-4800H 16GB 512GB PCIE RTX3050 W11H,notebooks,2095.412605,,,,,
NB ASUS 15.6 R7-5800H 16GB 512GB PCIE W11H,notebooks,1852.191055,,,,,
NB ASUS 15.6 R7-6800H 16G 512GB RTX3060 W11H,notebooks,3313.57455,,,,,
NB ASUS 16 i7-12700H 16GB 512GB RTX3050TI W11H,notebooks,3404.263005,,,,,
NB ASUS 16 I9-12900H 32G 1TB RTX3060 TOUCH W11H,notebooks,5926.41335,,,,,
NB ASUS 17.3 I9-12950HX 32G 1TB RTX3080TI W11H,notebooks,7381.549175,,,,,
NB ASUS 17.3 R9-6800HX 16G 1TB RTX3070TI W11H,notebooks,4676.308065,,,,,
NB CX 11.6 INTEL N3350+4GB+64GB+SSD256+W10PRO,notebooks,306.172295,,,,,
NB CX 11.6 INTEL N3350+4GB+64GB+W10PRO,notebooks,253.77209,,,,,
NB CX 14  INTEL PENTIUM 4G+64G+256G+W10H,notebooks,395.414305,,,,,
NB CX 14  INTEL PENTIUM 4G+64G+256G+W10H **CAJA DA,notebooks,395.414305,,,,,
NB CX 14  INTEL PENTIUM 4G+64G+W10H,notebooks,346.27164,,,,,
NB CX 14 INTEL Z8350 2G+32GB IPS FULLHD W10,notebooks,188.47543,,,,,
NB CX 14 INTEL Z8350 2G+32GB IPS FULLHD W10 DA�ADO,notebooks,184.70738,,,,,
NB CX 14 ULTRASLIM LUMINA B847+SSD240+4G (EXPO),notebooks,372.89109,,,,,
NB CX 14 ULTRASLIM LUMINA I3-3217+SSD240+4G (EXPO),notebooks,495.401335,,,,,
NB CX 14.1 AMD A9-9400+4GB+64GB+W10PRO,notebooks,320.94062,,,,,
NB CX 14.1 AMD A9-9400+8GB+64GB+256G,notebooks,407.447755,,,,,
NB CX 14.1 AMD A9-9400+8GB+64GB+256G+W10PRO,notebooks,430.23838,,,,,
NB CX 14.1 AMD A9-9400+8GB+64GB+480G,notebooks,414.473345,,,,,
NB CX 14.1 AMD A9-9400+8GB+64GB+480G+W10PRO,notebooks,437.26397,,,,,
NB CX 14.1 QUALCOMM 7C 4GB+128GB+W10PRO+4G LTE,notebooks,391.07497,,,,,
NB CX 15.6 INTEL I3 1115G4+8G+SSD240G,notebooks,523.24844,,,,,
NB CX 15.6 INTEL I5 1135G7+16G+SSD480G,notebooks,739.741145,,,,,
NB CX 15.6 INTEL I5 1135G7+8G+SSD240G,notebooks,666.835455,,,,,
NB CX 15.6 INTEL I7 1165G7+16G+SSD480G,notebooks,932.154795,,,,,
NB CX 15.6 INTEL I7 1165G7+8G+SSD240G,notebooks,842.961405,,,,,
NB CX 15.6 INTEL N3350+4GB+64GB+1TB+W10PRO,notebooks,345.4451,,,,,
NB CX 15.6 INTEL N3350+4GB+64GB+256G+W10PRO,notebooks,336.754275,,,,,
NB CX 15.6 INTEL N3350+4GB+64GB+W10PRO,notebooks,284.390535,,,,,
NB DELL 14 VOSTRO 3400 I5-1135G7 8G 256GB W10PRO,notebooks,1414.47735,,,,,
NB DELL 14 VOSTRO 3400 I5-1135G7 8GB 256GB UBUNTU,notebooks,1077.941865,,,,,
NB DELL 14 VOSTRO 3400 I5-1135G7 8GB 256GB W10PRO,notebooks,1303.611595,,,,,
NB DELL 14 VOSTRO 3405 RYZEN5 8GB 256GB UBUNTU,notebooks,899.44569,,,,,
NB DELL 14 VOSTRO 3405 RYZEN5 8GB 256GB W10HOME,notebooks,920.66832,,,,,
NB DELL 14 VOSTRO 3405 RYZEN5 8GB 256GB W10PRO,notebooks,1281.69613,,,,,
NB DELL 14 VOSTRO 5410 I5-11300H 8G 256G W11PRO,notebooks,1518.8888,,,,,
NB DELL 15.6 INSP 3511 I3-1115G4 4G 256GB UBUNTU,notebooks,955.468085,,,,,
NB DELL 15.6 INSP 3511 I3-1115G4 4G 256GB W11HOME,notebooks,1071.912985,,,,,
NB DELL 15.6 INSP 3511 I3-1115G4 8G 256GB UBUNTU,notebooks,972.898355,,,,,
NB DELL 15.6 INSP 3511 I5-1135G7 8G 256G FHD UBUNT,notebooks,1241.694025,,,,,
NB DELL 15.6 INSP 3511 I5-1135G7 8G 256GB UBUNTU,notebooks,1237.877355,,,,,
NB DELL 15.6 INSP 3511 I7-1165G7 8 256G UBUNT EXPO,notebooks,1360.885955,,,,,
NB DELL 15.6 INSP 3511 I7-1165G7 8G 256GB UBUNTU,notebooks,1432.51537,,,,,
NB DELL 15.6 INSP 3515 RYZEN5 8G 256GB W11HOME,notebooks,1021.84654,,,,,
NB DELL 15.6 INSP 5510 I5-11320H 8G 256GB W11HOME,notebooks,1511.08529,,,,,
NB DELL 15.6 VOSTRO 3510 I5-1135G7 4GB 1TB UBUNTU,notebooks,1128.336495,,,,,
NB DELL 15.6 VOSTRO 3510 I5-1135G7 8G SSD250G UBUN,notebooks,1179.25379,,,,,
NB GIGABYTE 15.6 I7-12700H 16GB 1TB RTX3070TI W11H,notebooks,3980.069665,,,,,
NB GIGABYTE 16 I7-12700H 16G 1TB RTX3070TI WIN11P,notebooks,5409.935245,,,,,
NB GIGABYTE 16 I7-12700H 16GB 1TB RTX3060P WIN11P,notebooks,4632.87825,,,,,
NB HP 14  X360 CONVERTIBLE PENT 4G 256G W10HOME,notebooks,1091.08142,,,,,
NB HP 14 240 I3-1005G1 4GB 1TB,notebooks,783.669315,,,,,
NB HP 14 240 I3-1005G1 SSD240G 8GB,notebooks,836.33693,,,,,
NB HP 14 240 N4020 500GB 4GB W10HOME,notebooks,697.76993,,,,,
NB HP 14 240 N4020 500GB 4GB W10HOME (BULK),notebooks,655.579925,,,,,
NB HP 14 240 N4020 SSD240G 8GB W10HOME,notebooks,726.103235,,,,,
NB HP 14 245 AMD ATHLON 3020E 1T 4GB,notebooks,693.941105,,,,,
NB HP 14 245 AMD ATHLON 3020E SSD240 8GB,notebooks,719.758325,,,,,
NB HP 14 245 AMD RYZEN3-3250U 1T 4GB,notebooks,800.613385,,,,,
NB HP 14 245 AMD RYZEN3-3250U 1T 4GB (CAJA DA�ADA),notebooks,760.574815,,,,,
NB HP 14 245 AMD RYZEN3-3250U SSD240 8GB,notebooks,853.57272,,,,,
NB HP 14 245 AMD RYZEN3-5300U 1T 8GB,notebooks,952.952,,,,,
NB HP 14 245 AMD RYZEN3-5300U SSD240G 8G,notebooks,962.09256,,,,,
NB HP 14 245 AMD RYZEN5-3500U 1T 8GB W10HOME,notebooks,1021.688525,,,,,
NB HP 14 245 AMD RYZEN5-5500U 1T 8GB,notebooks,1122.647955,,,,,
NB HP 14 245 AMD RYZEN5-5500U SSD240G 8GB,notebooks,1141.1114,,,,,
NB HP 14 348 I3-10110U 1TB 4GB W10HOME,notebooks,1088.50456,,,,,
NB HP 14 440 I5-1235U 8GB SSD512GB W10PRO,notebooks,2253.34252,,,,,
NB HP 14 440 I7-1255U 8GB SSD512GB W10PRO,notebooks,2579.303155,,,,,
NB HP 14 Z FIREFLY I7-1165G7 SSD512 16GB W10P T500,notebooks,2747.188015,,,,,
NB HP 15.6 450 I5-1135G7 8GB SSD256GB W10PR (EXPO),notebooks,1815.628815,,,,,
NB HP 15.6 450 I5-1135G7 8GB SSD256GB W10PRO,notebooks,1925.66803,,,,,
NB LENOVO + EXT. DE GARANTIA,notebooks,1186.218605,,,,,
NB LENOVO 14 E41-50 I3-1005G1 8GB HD500 W10P (L),notebooks,955.99075,,,,,
NB LENOVO 14 E41-50 I3-1005G1 8GB SSD512 W10P (L),notebooks,982.124,,,,,
NB LENOVO 14 V14 I3-1115G4 8GB SSD256 GTIA1CI,notebooks,848.97813,,,,,
NB LENOVO 14 V14 I5-1135G7 8GB SSD256 GTIA1CI,notebooks,1073.882095,,,,,
NB LENOVO 15.6 V15 I3-10110U 8GB 1TB GTI1CI,notebooks,857.450165,,,,,
NB LENOVO 15.6 V15 I3-10110U 8GB SSD240G GTI1CI,notebooks,866.67581,,,,,
NB LENOVO 16 TBOOK R7-6800H 16G SSD512 RTX3060,notebooks,3287.34406,,,,,
NB LENOVO 16 TBOOK R9-6900HX 32G SSD1T RTX3060,notebooks,4059.40535,,,,,
NORTON PCANYWHERE 11.0 HOST Y REMOTE 1 USUARIO,accesorios,297.65153,,,,,
NORTON PERSONAL FIREWALL 2004 RETAIL,accesorios,51.48308,,,,,
NORTON SYSTEMWORKS 2001 BOX ESP,accesorios,99.51887,,,,,
NORTON SYSTEMWORKS 2001 BOX INGLES,accesorios,82.247,,,,,
NORTON SYSTEMWORKS 2004 PROFESIONAL,accesorios,137.87829,,,,,
NORTON SYSTEMWORKS 2004 RETAIL,accesorios,82.73496,,,,,
NORTON SYSTEMWORKS 2006 BASIC,accesorios,27.57832,,,,,
NORTON SYSTEMWORKS 2006 BOX,accesorios,80.89818,,,,,
NORTON SYSTEMWORKS FOR GAMES,accesorios,31.25188,,,,,
NVR 16CH 1080P TP-LINK HDMI/VGA 1SATA,camaras,257.29561,,,,,
OKIDATA K10717 -ALTERNATIVO ARMOR,impresion,8.5085,,,,,
ORGANIZADOR APC 2U HORIZONTAL,electro,103.36546,,,,,
ORGANIZADOR BANDEJA MULTIM ALLSOP NATURL,accesorios,1.1979,,,,,
ORGANIZADOR GABITEL 19` 1U SIMPLE (N),electro,19.75204,,,,,
ORGANIZADOR GABITEL 19` 1U SIMPLE (N) Anilla 70mm,electro,28.84277,,,,,
ORGANIZADOR GABITEL 40U C/VELCROS (B) ABIERTO,electro,111.39139,,,,,
ORGANIZADOR GABITEL MIXTO 19` 1U (N),electro,33.36817,,,,,
ORGANIZADOR GLC 19` 1U NEGRO C/TAPA DE CABLES,electro,26.51352,,,,,
ORGANIZADOR GLC 19` 1U NEGRO DE CABLES,electro,18.11491,,,,,
ORGANIZADOR P-MULTIMEDIA ALLSOP,accesorios,1.91664,,,,,
P-CORD DE FIBRA OPTICA HUBBELL SC-SC 5M DUPLEX,redes,10.95413,,,,,
P-CORD FIBRA OPTICA HUBBELL M-M OM1 SC-SC DUP 2MTS,redes,9.75623,,,,,
P-CORD FIBRA OPTICA HUBBELL M-M OM1 ST-ST DUP 2MTS,redes,8.82453,,,,,
P-CORD FIBRA OPTICA HUBBELL ST-SC 3 METROS,redes,10.02243,,,,,
P-CORD FIBRA OPTICA HUBBELL STtoST 5 METROS,redes,10.48828,,,,,
PACK X3 DISCOS SEAGATE ACCION OCTUBRE 2021,discos,2788.928285,,,,,
PALANCA FRIC/TRAC DE LX810 -10YF35003100,accesorios,0.73205,,,,,
PANEL LCD COMPATIBLE NB DELL,accesorios,102.102,,,,,
PANTALLA INMERSION GREEN C/TRIPODE 106` INTELAID,proyector,303.72089,,,,,
PANTALLA P/ PROYECTOR PARED 120` INTELAID,proyector,447.93474,,,,,
PAPEL BROTHER BP61GLP 4X6 GLOSSY PHOTO,impresion,2.443155,,,,,
PAPEL EPSON 041064 X30 TRANSPARENCIAS CARTA,accesorios,15.47953,,,,,
PAPEL EPSON 041070 PHQ TABLOIDE X100,impresion,15.14678,,,,,
PAPEL EPSON 041072 GLOSSY X15 CARTA,accesorios,2.3958,,,,,
PAPEL EPSON 041075 FILM GLOS TABLDE X10,accesorios,5.64344,,,,,
PAPEL EPSON 041079 PHQ A2 X30H,impresion,12.99056,,,,,
PAPEL EPSON 041123 GLOSSY A2 X20H,accesorios,11.64625,,,,,
PAPEL EPSON 041145 PH PANORAMICO X10H,impresion,4.71174,,,,,
PAPEL EPSON 041213 A4 PREMIUM 200H,impresion,1.43748,,,,,
PAPEL EPSON 041290 PREM GLOS PHOTOB X20H,accesorios,1.77023,,,,,
PAPEL EPSON 041302 PRM GLS ROLLO .1X8MTS,impresion,7.10754,,,,,
PAPEL EPSON 041467 BORD MATTE HEAVY 8X10,impresion,2.43573,,,,,
PAPEL EPSON S041111 X100 HIGHT QUALITY,impresion,4.2592,,,,,
PAPEL HP 51634Z A4 (X200),impresion,7.13416,,,,,
PAPEL HP C3828A X20 TRANSP CARTA,impresion,16.27813,,,,,
PAPEL PREMIUM A4  X 20 HOJAS 170G,accesorios,2.50228,,,,,
PARLANTE FOXBOX INALAMBRICO CORVUS AZUL,parlantes,29.22876,,,,,
PARLANTE FOXBOX INALAMBRICO CORVUS NEGRO,parlantes,29.22876,,,,,
PARLANTE FOXBOX INALAMBRICO PYXIS AZUL,parlantes,58.92337,,,,,
PARLANTE FOXBOX INALAMBRICO PYXIS NEGRO,parlantes,58.92337,,,,,
PARLANTE FOXBOX WARP CRUX CAMUFLADO,parlantes,130.39807,,,,,
PARLANTE FOXBOX WARP CRUX NEGRO,parlantes,118.43238,,,,,
PARLANTE FOXBOX WARP CRUX ROJO,parlantes,118.43238,,,,,
